epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2859.3,1.49218,1.17386,1.12829,0.66773,0.61765,0.65684,0.3624,1.47172,1.21792,1.15528,0.00183764,0.00183764,0.00183764
43,2926.48,1.55273,1.06723,1.13891,0.7058,0.54334,0.64054,0.35577,1.51772,1.22145,1.17759,0.00183368,0.00183368,0.00183368
44,2993.61,1.50044,1.05633,1.13612,0.64221,0.60016,0.64438,0.35322,1.52803,1.42532,1.16666,0.00182972,0.00182972,0.00182972
45,3060.43,1.50427,1.05063,1.14701,0.63967,0.65325,0.6767,0.39118,1.46144,1.10161,1.14826,0.00182576,0.00182576,0.00182576
46,3127.79,1.50401,1.05746,1.13306,0.72559,0.61806,0.69114,0.38159,1.50756,1.09319,1.16508,0.0018218,0.0018218,0.0018218
47,3194.91,1.47675,0.99735,1.12684,0.72389,0.65325,0.72062,0.40597,1.51326,0.9969,1.1644,0.00181784,0.00181784,0.00181784
48,3262.21,1.47404,1.03148,1.11449,0.72495,0.64874,0.71555,0.40012,1.50007,1.04654,1.15646,0.00181388,0.00181388,0.00181388
49,3329.03,1.46938,1.03851,1.13101,0.64166,0.67079,0.68675,0.36925,1.53314,1.10525,1.16549,0.00180992,0.00180992,0.00180992
50,3395.88,1.44756,0.99883,1.11666,0.73059,0.59133,0.69295,0.40642,1.40771,1.10013,1.12991,0.00180596,0.00180596,0.00180596
51,3462.65,1.46569,0.99228,1.11977,0.67436,0.64114,0.69756,0.38582,1.4829,1.10126,1.15753,0.001802,0.001802,0.001802
52,3529.43,1.42552,0.98596,1.11142,0.68325,0.6311,0.69423,0.39155,1.47476,1.10962,1.14992,0.00179804,0.00179804,0.00179804
53,3596.52,1.41759,0.97134,1.09787,0.72406,0.67183,0.72898,0.40986,1.47498,1.04024,1.14887,0.00179408,0.00179408,0.00179408
54,3663.8,1.4239,0.92611,1.10374,0.68515,0.68047,0.72228,0.40743,1.40343,0.97771,1.13128,0.00179012,0.00179012,0.00179012
55,3730.57,1.39696,0.94156,1.09495,0.73499,0.61146,0.69023,0.39598,1.44693,1.06381,1.14694,0.00178616,0.00178616,0.00178616
56,3797.6,1.36439,0.96099,1.09622,0.67325,0.61765,0.65667,0.36665,1.44345,1.07773,1.15297,0.0017822,0.0017822,0.0017822
57,3864.68,1.33866,0.90028,1.08202,0.74739,0.65789,0.73049,0.41444,1.42142,0.94047,1.12858,0.00177824,0.00177824,0.00177824
58,3931.88,1.38264,0.95415,1.0835,0.69508,0.63313,0.68879,0.37303,1.51964,1.11858,1.17009,0.00177428,0.00177428,0.00177428
59,3999.26,1.35401,0.90927,1.07056,0.63532,0.63646,0.65354,0.34132,1.55871,1.12191,1.18753,0.00177032,0.00177032,0.00177032
60,4066.03,1.38488,0.92784,1.09168,0.72186,0.67492,0.74162,0.40929,1.52846,0.99134,1.16692,0.00176636,0.00176636,0.00176636
61,4132.94,1.45445,0.97224,1.10868,0.6857,0.66532,0.71048,0.39323,1.50907,1.10374,1.16013,0.0017624,0.0017624,0.0017624
62,4200.01,1.39188,0.95567,1.07825,0.72294,0.6503,0.70239,0.40448,1.43346,0.96863,1.13574,0.00175844,0.00175844,0.00175844
63,4266.93,1.37373,0.89791,1.08274,0.71127,0.67492,0.73038,0.41743,1.48679,0.92728,1.15814,0.00175448,0.00175448,0.00175448
64,4334.24,1.40214,0.91701,1.08494,0.72537,0.64087,0.71043,0.42179,1.40295,0.96767,1.13213,0.00175052,0.00175052,0.00175052
65,4401.31,1.33693,0.86015,1.05671,0.71038,0.68576,0.74717,0.43156,1.38047,0.92539,1.11854,0.00174656,0.00174656,0.00174656
66,4468.74,1.39542,0.89649,1.08415,0.68681,0.64551,0.71688,0.4156,1.38632,0.97195,1.12095,0.0017426,0.0017426,0.0017426
67,4535.79,1.31597,0.84576,1.07519,0.74055,0.71207,0.77414,0.44447,1.38533,0.89223,1.12343,0.00173864,0.00173864,0.00173864
